label,c1,c2,c3,c4,c5
AdelardOfBath,#211830,#5c6e94,#87f4e2,#fffd97,#ffb594
AdobeHut,#d5e05f,#868a61,#d19390,#ad4b45,#78b0e6
AiryTilt,#6a78b8,#babfdb,#ededed,#dbd3ba,#b8a363
ArdentGaze,#232925,#3c5940,#f2a444,#a6351c,#732f17
Ceramo,#1252ff,#1a89ff,#23bcff,#2cebff,#34ffe5
ClayGolem,#ffd01e,#b88e1a,#946f21,#664c23,#473625
DualDream,#b27869,#e8b79b,#ffcf9c,#e8c587,#b5a473
EasyLight,#a88973,#ccc7a2,#f5ffc9,#9ed7d9,#5197b2
ElectricSteel,#194655,#326e7d,#4b8c9b,#64afc8,#7df0ff
FiddleWear,#ff9f00,#cc6a00,#993f00,#661e00,#330900
FireGlow,#c61100,#ff7117,#ffb73d,#ffe073,#fff9bb
GoodDay,#2868a1,#6dace3,#a8d7ff,#ffe3b6,#ffb441
HypeReverse,#9bcc00,#665b52,#332828,#544959,#00b3cc
Indioptry,#001454,#5276a4,#ffffff,#ffdf86,#ffa400
KhakiChrome,#2b3924,#5e923e,#c8ffad,#c4e4fd,#183b59
LoftWools,#692309,#857d69,#c6d4a7,#52706a,#444b69
MonoTag,#d3dff0,#97b2d2,#577ea5,#18608b,#004a76
MorningConcrete,#ffe7c1,#b2a687,#645d56,#b29687,#ffcdc1
MossPhase2,#403e2f,#807c5f,#bfba8e,#e5dfaa,#fff8bd
MossPhase,#161a13,#2b3327,#56664d,#accc9a,#d7ffc1
MossShades,#fff3c9,#ccc3a1,#999279,#666151,#333128
NauticaRusso,#113940,#39735d,#ffff94,#ffc950,#ff7400
NavigatorLog,#fff8dc,#ccaf88,#c19a6b,#8b0000,#003153
NiftyApt,#9fc4d6,#b0d6a9,#fff1a0,#ffcf6f,#ffb050
OldCubes,#3c9090,#81c86f,#ffc851,#ff3737,#516fae
OrangePip,#000000,#404040,#808080,#ffffff,#ff9600
OvenZDoor,#ff8c24,#ffbe5b,#ffdf8e,#fff7c4,#372626
ParadoxLustre,#fff69b,#e5e0a9,#bfbc9d,#807e73,#404040
PentaCycle,#f2d97b,#84bf7e,#6e818c,#544a59,#24201f
PentacularMeasure,#302733,#a08378,#f5e7b4,#698062,#273133
PythagorasNude,#3ebf00,#ffc800,#e50000,#99008f,#006099
QuarterCanon,#802c2c,#b24d2d,#cc6e1f,#e59a0f,#ffc800
RadioMoss,#738069,#999375,#b29e84,#ccafa5,#e5bdde
RedDust,#7a0000,#ff6747,#ffcfac,#e6c8c8,#4a3737
RedClay,#402c24,#66463a,#8c6050,#b27a66,#d9947b
RedGray,#7a0000,#ff6747,#ffcfac,#c9c9c9,#1c1c1c
SakuraPastel,#b860b4,#f48cda,#ffb8f4,#ff9382,#ae5e4f
Sandbox,#ffa900,#967b45,#c7a259,#e3cea4,#ffffff
SheSunset,#401925,#80483b,#bf8959,#e5bd77,#ffeca7
SmokerAttic,#4e4e57,#b0b0bf,#e8e9ff,#adac8f,#c9700b
SmokerJeans,#005a6e,#6496aa,#c8e1e1,#afa0a0,#643c3c
StarmarCinnabari,#f5f5f5,#dcdcdc,#a9a9a9,#1f1a17,#bf0000
TriangleBisectors,#1e4566,#5e8268,#b2b04a,#fcda5c,#ffb029
VitalityHerbarium,#730202,#b53c25,#bd8d46,#ffb03b,#f6e497
WewakShade,#f2a4a5,#b07777,#7a5353,#4c3434,#291c1c
